id,season,city ,date,team1,team2,toss_winner,toss_decision,winner,winner_by_runs,winner_by_wickets,player_of_match,venue,umpire 1,umpire 2,tv-umpire,no_result,tie,result,dl-applied
1355624,2023,Birmingham,8/13/2023,Birmingham Phoenix,Oval Invincilbes,Oval Invincibles,field,Birmingham Phoenix,41,,JL Smith,"Edgbaston, Birmingham",PR Pollard,RJ Warren,S Redfern,0,0,normal,0
1355625,2023,Cardiff,8/14/2023,Trent Rockets,Welsh Fire,Welsh Fire,field,Trent Rockets,4,,C Munro,"Sophia Gardens, Cardiff",GD Lloyd,ID Blackwell,AG Wharf,0,0,normal,0
1355626,2023,London,8/15/2023,Oval Invincibles,London Spirit,Oval Invincibles,bat,Oval Invincibles,2,,WG Jacks,"Kennington Oval, London",RA Kettleborough,RJ Warren,NJ Llong,0,0,normal,0
1355627,2023,Southampton,8/16/2023,Birmingham Phoenix,Southern Brave,Birmingham Phoenix,bat,Southern Brave,,4,TS Mills,"The Rose Bowl, Southampton",NJ Llong,Tom Lungley,DJ Millns,0,0,normal,0
1355628,2023,Nottingham,8/17/2023,Manchester Originals,Trent Rockets,Trent Rockets,field,Manchester Originals,10,,PD Salt,"Trent Bridge,Nottingham",DJ Millns,MJ Saggers,AG Wharf,0,0,normal,0
1355629,2023,London,8/18/2023,London Spirit,Northern Superchargers,Northern Superchargers,field,London Spirit,13,,RS Bopara,"Lord's, London",N Pratt,NJ Llong,M Burns,0,0,normal,0
1355630,2023,Nottingham,8/19/2023,Trent Rockets,Birmingham Phoenix,Birmingham Phoenix,field,Trent Rockets,46,,M Carter,"Trent Bridge,Nottingham",Rob White,SJ O'Shaughnessy,DJ Millns,0,0,normal,0
1355631,2023,Southampton,8/19/2023,Oval Invincibles,Southern Brave,Oval Invincibles,bat,Oval Invincibles,8,,TK Curran,"The Rose Bowl, Southampton",MJ Saggers,NL Bainton,M Burns,0,0,normal,0
1355632,2023,Manchester,8/20/2023,Manchester Originals,Northern Superchargers,Manchester Originals,bat,Manchester Originals,81,,CG Harrison,"Old Trafford, Manchester",Hassan Adnan,James Middlebrook,GD Lloyd,0,0,normal,0
1355633,2023,Cardiff,8/20/2023,London Spirit,Welsh Fire,London Spirit,bat,Welsh Fire,,6,TB Abell,"Sophia Gardens, Cardiff",AG Wharf,RJ Bailey,PK Baldwin,0,0,normal,0
1355634,2023,London,8/21/2023,Trent Rockets,Oval Invincilbes,Trent Rockets,bat,Oval Invincibles,,5,SW Billings,"Kennington Oval, London",PR Pollard,Rob White,NJ Llong,0,0,normal,0
1355635,2023,Leeds,8/22/2023,Northern Superchargers,Welsh Fire,Northern Superchargers,bat,Welsh Fire,,8,HC Brook,"Headingley, Leeds",MA Gough,M Burns,MJ Saggers,0,0,normal,0
1355635,2023,Manchester,8/23/2023,Manchester Originals,Southern Brave,Southern Brave,field,Southern Brave,,6,DP Conway,"Old Trafford, Manchester",AG Wharf,BJ Debenham,DJ Millns,0,0,normal,0
1355637,2023,Birmingham,8/24/2023,Birmingham Phoenix,London Spirit,London Spirit,field,Birmingham Phoenix,77,,AF Milne,"Edgbaston, Birmingham",MA Gough,PK Baldwin,MJ Saggers,0,0,normal,0
1355638,2023,London,8/26/2023,Southern Brave,Manchester Originals,Manchester Originals,field,Manchester Originals,,7,JC Buttler,"Kennington Oval, London",MJ Saggers,RJ Warren,NJ Llong,0,0,normal,0
1355639,2023,London,8/27/2023,Oval Invincibles,Manchester Originals,Manchester Originals,field,Oval Invincibles,14,,TK Curran,"Lord's, London",AG Wharf,M Burns,PK Baldwin,0,0,normal,0
1417790,2024,London,7/23/2024,Birmingham Phoenix,Oval Invincilbes,Birmingham Phoenix,bat,Oval Invincibles,,8,A Zampa,"Kennington Oval, London",GD Lloyd,RJ Warren,PK Baldwin,0,0,normal,0
1417791,2024,Southampton,7/24/2024,London Spirit,Southern Brave,London Spirit,bat,Southern Brave,,7,C Overton,"The Rose Bowl, Southampton",BJ Debenham,GD Lloyd,S Redfern,0,0,normal,0
1417792,2024,Manchester,7/25/2024,Manchester Originals,Welsh Fire,Welsh Fire,field,Welsh Fire,,8,DJ Willey,"Old Trafford, Manchester",PR Pollard,SJ O'Shaughnessy,NJ Llong,0,0,normal,0
1417793,2024,Leeds,7/26/2024,Trent Rockets,Northern Superchargers,Northern Superchargers,field,Trent Rockets,47,,CJ Green,"Headingley, Leeds",PR Pollard,SJ O'Shaughnessy,NJ Llong,0,0,normal,0
1417794,2024,London,7/27/2024,London Spirit,Birmingham Phoenix,Birmingham Phoenix,field,Birmingham Phoenix,,3,SA Abbott,"Lord's, London",BJ Debenham,Rob White,AY Harris,0,0,normal,0
1417795,2024,Cardiff,7/28/2024,Oval Invincibles,Welsh Fire,Welsh Fire,field,Oval Invincibles,10,,A Zampa,"Sophia Gardens, Cardiff",ID Blackwell,SJ O'Shaughnessy,S Redfern,0,0,normal,0
1417796,2024,Manchester,7/29/2024,Trent Rockets,Manchester Originals,Manchester Originals,field,Trent Rockets,1,,T Banton,"Old Trafford, Manchester",AG Wharf,DJ Millns,GD Lloyd,0,0,normal,0
1417797,2024,Leeds,7/30/2024,Southern Brave,Northern Superchargers,Southern Brave,bat,Northern Superchargers,,7,N Pooran,"Headingley, Leeds",MJ Saggers,PR Pollard,NL Bainton,0,0,normal,0
