id,season,city ,date,team1,team2,toss_winner,toss_decision,winner,winner_by_runs,winner_by_wickets,player_of_match,venue,umpire 1,umpire 2,tv-umpire,no_result,tie,result,dl-applied
1299182,2022,Cardiff,8/13/2022,Birmingham Phoenix,Welsh Fire,Welsh Fire,field,Birmingham Phoenix,4,,KW Richardson,"Sophia Gardens, Cardiff",PJ Hartley,RJ Warren,AG Wharf,0,0,normal,0
1299183,2022,Leeds,8/14/2022,Northern Superchargers,London Spirit,Northern Superchargers,bat,London Spirit,,7,AM Rossington,"Headingley, Leeds",GD Lloyd,Rob White,SJ O'Shaughnessy,0,0,normal,0
1299184,2022,London,8/14/2022,Southern Brave,Oval Invincilbes,Oval Invincibles,field,Oval Invincibles,,7,WG Jacks,"Kennington Oval, London",AG Wharf,DJ Millns,NL Bainton,0,0,normal,0
1299185,2022,Birmingham,8/15/2022,Trent Rockets,Birmingham Phoenix,Birmingham Phoenix,field,Birmingham Phoenix,,7,MM Ali,"Edgbaston, Birmingham",MJ Saggers,Tom Lungley,SJ O'Shaughnessy,0,0,normal,0
1299186,2022,Manchester,8/16/2022,Manchester Originals,Welsh Fire,Welsh Fire,field,Manchester Originals,47,,SA Abbott,"Old Trafford, Manchester",DJ Millns,N Pratt,GD Lloyd,0,0,normal,0
1299187,2022,Nottingham,8/17/2022,Trent Rockets,Oval Invincilbes,Oval Invincibles,field,Trent Rockets,25,,AD Hales,"Trent Bridge,Nottingham",NA Mallender,RA Kettleborough,MJ Saggers,0,0,normal,0
1299188,2022,Southampton,8/18/2022,Manchester Originals,Southern Brave,Southern Brave,field,Manchester Originals,68,,AD Russell,"The Rose Bowl, Southampton",MJ Saggers,RJ Bailey,NL Bainton,0,0,normal,0
1299189,2022,Birmingham,8/19/2022,Northern Superchargers,Birmingham Phoenix,Birmingham Phoenix,field,Northern Superchargers,32,,D Wiese,"Edgbaston, Birmingham",James Middlebrook,SJ O'Shaughnessy,M Burns,0,0,normal,0
1299190,2022,Nottingham,8/20/2022,London Spirit,Trent Rockets,Trent Rockets,field,Trent Rockets,,6,C Munro,"Trent Bridge,Nottingham",MJ Saggers,PR Pollard,DJ Millns,0,0,normal,0
1299191,2022,Leeds,8/21/2022,Manchester Originals,Northern Superchargers,Northern Superchargers,field,Manchester Originals,23,,PD Salt,"Headingley, Leeds",M Burns,Rob White,PK Baldwin,0,0,normal,0
1299192,2022,Cardiff,8/22/2022,Welsh Fire,Southern Brave,Southern Brave,field,Southern Brave,,9,GHS Garton,"Sophia Gardens, Cardiff",BJ Debenham,GD Lloyd,NL Bainton,0,0,normal,0
